Tail,Flight_ID,Crew_ID,From,To,SDT,SAT,Flight_time,Cruise_time,Distance(km),Capacity,Pax
T0,T0F0,C0,MSY,AUS,05:45,06:39,00:54,00:24,713,210,207
T0,T0F1,C1,AUS,MBS,07:18,09:42,02:24,01:54,1908,210,160
T1,T1F0,C2,CLE,AUS,05:33,07:57,02:24,01:54,1889,240,171
T1,T1F1,C2,AUS,MBS,08:35,10:59,02:24,01:54,1908,240,203
T1,T1F2,C2,MBS,LFT,11:46,13:46,02:00,01:30,1639,240,239
T1,T1F3,C2,LFT,LIT,14:35,15:11,00:36,00:06,504,240,238
T1,T1F4,C2,LIT,BGR,15:50,18:44,02:54,02:24,2280,240,231
T2,T2F0,C3,LFT,AUS,05:41,06:23,00:42,00:12,546,240,198
T2,T2F1,C3,AUS,MBS,07:12,09:36,02:24,01:54,1908,240,186
T2,T2F2,C3,MBS,LIT,10:12,11:42,01:30,01:00,1204,240,205
T2,T2F3,C3,LIT,JAX,12:27,13:51,01:24,00:54,1093,240,237
T2,T2F4,C3,JAX,CID,14:37,16:31,01:54,01:24,1551,240,186
T2,T2F5,C3,CID,MSN,17:18,17:36,00:18,23:48,239,240,169
T3,T3F0,C4,SNA,AUS,05:40,08:04,02:24,01:54,1942,180,144
T4,T4F0,C5,MSN,AUS,05:37,07:37,02:00,01:30,1618,240,232
T4,T4F1,C5,AUS,MBS,08:11,10:35,02:24,01:54,1908,240,167
T4,T4F2,C5,MBS,LFT,11:19,13:19,02:00,01:30,1639,240,221
T5,T5F0,C6,MSN,AUS,05:47,07:47,02:00,01:30,1618,180,116
T5,T5F1,C6,AUS,MBS,08:20,10:44,02:24,01:54,1908,180,129
T5,T5F2,C7,MBS,LFT,11:31,13:31,02:00,01:30,1639,180,147
T5,T5F3,C8,LFT,LIT,14:20,14:56,00:36,00:06,504,180,123
T5,T5F4,C9,LIT,JAX,15:35,16:59,01:24,00:54,1093,180,147
T5,T5F5,C9,JAX,BGR,17:48,20:12,02:24,01:54,1948,180,140
T6,T6F0,C10,CLE,AUS,05:38,08:02,02:24,01:54,1889,180,152
T6,T6F1,C10,AUS,MBS,08:34,10:58,02:24,01:54,1908,180,142
T6,T6F2,C10,MBS,LFT,11:32,13:32,02:00,01:30,1639,180,157
T6,T6F3,C11,LFT,LIT,14:03,14:39,00:36,00:06,504,180,171
T6,T6F4,C12,LIT,CID,15:26,16:26,01:00,00:30,797,180,169
T7,T7F0,C13,SMF,AUS,05:48,08:48,03:00,02:30,2379,240,226
T7,T7F1,C13,AUS,MBS,09:31,11:55,02:24,01:54,1908,240,223
T7,T7F2,C13,MBS,LFT,12:39,14:39,02:00,01:30,1639,240,200
T7,T7F3,C13,LFT,LIT,15:29,16:05,00:36,00:06,504,240,191
T7,T7F4,C13,LIT,BGR,16:46,19:40,02:54,02:24,2280,240,240
T8,T8F0,C14,OKC,AUS,05:40,06:22,00:42,00:12,578,210,175
T8,T8F1,C15,AUS,MBS,06:59,09:23,02:24,01:54,1908,210,197
T8,T8F2,C15,MBS,LFT,10:01,12:01,02:00,01:30,1639,210,127
T8,T8F3,C15,LFT,LIT,12:38,13:14,00:36,00:06,504,210,136
T9,T9F0,C16,MSY,AUS,05:37,06:31,00:54,00:24,713,210,192
T9,T9F1,C16,AUS,MBS,07:19,09:43,02:24,01:54,1908,210,130
