From,To,Distance,Duration,Timestring
ATL,LAX,3125.780835979746,14066,03:54
ATL,ORD,976.3291777270539,4393,01:13
ATL,DFW,1174.5334459361275,5285,01:28
ATL,JFK,1222.0951351901176,5499,01:31
ATL,DEN,1926.6204891845073,8669,02:24
ATL,SFO,3434.722779811789,15456,04:17
ATL,CLT,364.567583577732,1640,00:27
ATL,LAS,2804.831782764035,12621,03:30
ATL,PHX,2549.08475143079,11470,03:11
ATL,MIA,959.0658848085762,4315,01:11
ATL,IAH,1107.5641046665885,4984,01:23
LAX,ATL,3125.780835979746,14066,03:54
LAX,ORD,2802.119873568573,12609,03:30
LAX,DFW,1983.1772054356097,8924,02:28
LAX,JFK,3974.202207888479,17883,04:58
LAX,DEN,1385.1411150209888,6233,01:43
LAX,SFO,543.19004081963,2444,00:40
LAX,CLT,3412.538891691261,15356,04:15
LAX,LAS,379.9947961560173,1709,00:28
LAX,PHX,594.361692529581,2674,00:44
LAX,MIA,3762.6330733142595,16931,04:42
LAX,IAH,2215.0765320376595,9967,02:46
ORD,ATL,976.3291777270539,4393,01:13
ORD,LAX,2802.119873568573,12609,03:30
ORD,DFW,1290.6470876758801,5807,01:36
ORD,JFK,1187.837240792049,5345,01:29
ORD,DEN,1426.023983743832,6417,01:46
ORD,SFO,2963.967282891265,13337,03:42
ORD,CLT,964.5800038445772,4340,01:12
ORD,LAS,2431.6962069146534,10942,03:02
ORD,PHX,2313.429081732513,10410,02:53
ORD,MIA,1930.0430093127009,8685,02:24
ORD,IAH,1490.653941386294,6707,01:51
DFW,ATL,1174.5334459361275,5285,01:28
DFW,LAX,1983.1772054356097,8924,02:28
DFW,ORD,1290.6470876758801,5807,01:36
DFW,JFK,2234.8992303549444,10057,02:47
DFW,DEN,1032.0994301809956,4644,01:17
DFW,SFO,2351.9442812766865,10583,02:56
DFW,CLT,1503.2090038556466,6764,01:52
DFW,LAS,1694.8022639285866,7626,02:07
DFW,PHX,1393.8675942575173,6272,01:44
DFW,MIA,1802.171173453867,8109,02:15
DFW,IAH,361.6211134413,1627,00:27
JFK,ATL,1222.0951351901176,5499,01:31
JFK,LAX,3974.202207888479,17883,04:58
JFK,ORD,1187.837240792049,5345,01:29
JFK,DFW,2234.8992303549444,10057,02:47
JFK,DEN,2609.7857128632286,11744,03:15
JFK,SFO,4151.792009731462,18683,05:11
JFK,CLT,870.5304210338242,3917,01:05
JFK,LAS,3609.287521695015,16241,04:30
JFK,PHX,3458.123849610451,15561,04:19
JFK,MIA,1757.1239448166118,7907,02:11
JFK,IAH,2277.8984061543533,10250,02:50
DEN,ATL,1926.6204891845073,8669,02:24
DEN,LAX,1385.1411150209888,6233,01:43
DEN,ORD,1426.023983743832,6417,01:46
DEN,DFW,1032.0994301809956,4644,01:17
DEN,JFK,2609.7857128632286,11744,03:15
DEN,SFO,1552.7769771718124,6987,01:56
DEN,CLT,2148.2050558133974,9666,02:41
DEN,LAS,1009.3660146990812,4542,01:15
DEN,PHX,968.5390931815123,4358,01:12
DEN,MIA,2748.6957570680775,12369,03:26
DEN,IAH,1387.4961450553908,6243,01:44
SFO,ATL,3434.722779811789,15456,04:17
SFO,LAX,543.19004081963,2444,00:40
SFO,ORD,2963.967282891265,13337,03:42
SFO,DFW,2351.9442812766865,10583,02:56
SFO,JFK,4151.792009731462,18683,05:11
SFO,DEN,1552.7769771718124,6987,01:56
SFO,CLT,3686.9760798002367,16591,04:36
SFO,LAS,664.8924383830887,2992,00:49
SFO,PHX,1046.0401936553344,4707,01:18
SFO,MIA,4153.709053254592,18691,05:11
SFO,IAH,2627.190108450034,11822,03:17
CLT,ATL,364.567583577732,1640,00:27
CLT,LAX,3412.538891691261,15356,04:15
CLT,ORD,964.5800038445772,4340,01:12
CLT,DFW,1503.2090038556466,6764,01:52
CLT,JFK,870.5304210338242,3917,01:05
CLT,DEN,2148.2050558133974,9666,02:41
CLT,SFO,3686.9760798002367,16591,04:36
CLT,LAS,3076.591945015373,13844,03:50
CLT,PHX,2848.3866511214437,12817,03:33
CLT,MIA,1049.4017343072949,4722,01:18
CLT,IAH,1466.8987306939312,6601,01:50
LAS,ATL,2804.831782764035,12621,03:30
LAS,LAX,379.9947961560173,1709,00:28
LAS,ORD,2431.6962069146534,10942,03:02
LAS,DFW,1694.8022639285866,7626,02:07
LAS,JFK,3609.287521695015,16241,04:30
LAS,DEN,1009.3660146990812,4542,01:15
LAS,SFO,664.8924383830887,2992,00:49
LAS,CLT,3076.591945015373,13844,03:50
LAS,PHX,410.8492267203502,1848,00:30
LAS,MIA,3494.1587120160725,15723,04:22
LAS,IAH,1962.7919175802876,8832,02:27
PHX,ATL,2549.08475143079,11470,03:11
PHX,LAX,594.361692529581,2674,00:44
PHX,ORD,2313.429081732513,10410,02:53
PHX,DFW,1393.8675942575173,6272,01:44
PHX,JFK,3458.123849610451,15561,04:19
PHX,DEN,968.5390931815123,4358,01:12
PHX,SFO,1046.0401936553344,4707,01:18
PHX,CLT,2848.3866511214437,12817,03:33
PHX,LAS,410.8492267203502,1848,00:30
PHX,MIA,3168.272833258883,14257,03:57
PHX,IAH,1620.9679939214436,7294,02:01
MIA,ATL,959.0658848085762,4315,01:11
MIA,LAX,3762.6330733142595,16931,04:42
MIA,ORD,1930.0430093127009,8685,02:24
MIA,DFW,1802.171173453867,8109,02:15
MIA,JFK,1757.1239448166118,7907,02:11
MIA,DEN,2748.6957570680775,12369,03:26
MIA,SFO,4153.709053254592,18691,05:11
MIA,CLT,1049.4017343072949,4722,01:18
MIA,LAS,3494.1587120160725,15723,04:22
MIA,PHX,3168.272833258883,14257,03:57
MIA,IAH,1549.4076885061072,6972,01:56
IAH,ATL,1107.5641046665885,4984,01:23
IAH,LAX,2215.0765320376595,9967,02:46
IAH,ORD,1490.653941386294,6707,01:51
IAH,DFW,361.6211134413,1627,00:27
IAH,JFK,2277.8984061543533,10250,02:50
IAH,DEN,1387.4961450553908,6243,01:44
IAH,SFO,2627.190108450034,11822,03:17
IAH,CLT,1466.8987306939312,6601,01:50
IAH,LAS,1962.7919175802876,8832,02:27
IAH,PHX,1620.9679939214436,7294,02:01
IAH,MIA,1549.4076885061072,6972,01:56
